models,node_num,mbs,iteration_time
gpt3_1_3B,32,26,17.81859666109085
gpt3_1_3B,31,26,35.15096467733383
gpt3_1_3B,30,26,35.23019087314606
gpt3_1_3B,29,26,35.29703861474991
gpt3_1_3B,28,26,26.606221914291382
gpt3_1_3B,27,26,44.68470448255539
gpt3_1_3B,26,26,39.9446946978569
gpt3_1_3B,25,26,35.26187479496002
gpt3_1_3B,24,26,43.617439925670624
gpt3_1_3B,23,26,26.409555554389954
gpt3_1_3B,22,26,26.56155127286911
gpt3_1_3B,21,26,35.119650423526764
gpt3_1_3B,20,26,35.16581577062607
gpt3_1_3B,19,26,35.35184782743454
gpt3_1_3B,18,26,53.20872122049332
gpt3_1_3B,17,26,35.11272382736206
gpt3_1_3B,16,26,34.77966433763504
gpt3_2_7B,32,34,36.321736892064415
gpt3_2_7B,31,34,48.85668534040451
gpt3_2_7B,30,34,43.87683868408203
gpt3_2_7B,29,34,58.544511795043945
gpt3_2_7B,28,34,44.304130494594574
gpt3_2_7B,27,34,48.603845715522766
gpt3_2_7B,26,34,53.63089317083359
gpt3_2_7B,25,34,48.63842648267746
gpt3_2_7B,24,34,51.29310804605484
gpt3_2_7B,23,34,65.59020507335663
gpt3_2_7B,22,34,51.18069648742676
gpt3_2_7B,21,34,62.864835262298584
gpt3_2_7B,20,34,58.60003125667572
gpt3_2_7B,19,34,60.247162222862244
gpt3_2_7B,16,34,65.38934707641602
gpt3_6_7B,32,34,65.82783621549606
gpt3_6_7B,31,34,70.00937581062317
gpt3_6_7B,30,34,142.68281948566437
gpt3_6_7B,29,34,73.39095890522003
gpt3_6_7B,28,34,85.90454334020615
gpt3_6_7B,27,34,80.3081806898117
gpt3_6_7B,26,34,74.49520885944366
gpt3_6_7B,25,34,82.91634076833725
gpt3_6_7B,24,34,76.48719143867493
gpt3_6_7B,23,34,87.06229674816132
gpt3_6_7B,22,34,90.2114662528038
gpt3_6_7B,21,34,95.22559177875519
gpt3_6_7B,20,34,98.50005948543549
gpt3_6_7B,19,34,105.04385781288147
gpt3_6_7B,18,34,108.83048927783966
gpt3_6_7B,17,34,114.43339931964874
gpt3_6_7B,16,34,119.96557235717773
